10 50 200 15000
1.18 29 2.41 ;1.18 5.77 5.15 ;1.97 21.69 1.23 ;1.77 24.66 4.77 ;1.56 11.16 1.66 ;1.98 4.53 1.34 ;1.84 30.38 1.99 ;1.89 11.35 3.87 ;1.02 33.19 1.9 ;1.14 11.05 4.22 ;
1 80 139 150.0 13.0 3.35374351527493 10 6 2 4 7 
2 136 183 100.0 13.0 0.24325807972108815 6 2 8 5 9 
3 164 112 50.0 13.0 2.5378015740653552 7 5 6 1 4 
4 98 70 150.0 13.0 4.880916984600797 7 8 6 4 2 
5 164 107 100.0 13.0 3.834785715569429 5 10 1 6 3 
6 197 193 50.0 13.0 1.0065369167015232 7 6 4 10 3 
7 185 117 100.0 13.0 0.3524480843963035 3 4 6 7 8 
8 172 21 100.0 13.0 3.4899161674459416 6 8 1 4 9 
9 47 200 50.0 13.0 1.8234490252940116 9 10 1 4 8 
10 110 1 150.0 13.0 0.5166353593214751 6 1 5 8 9 
11 44 200 150.0 13.0 3.594751679811685 6 4 10 7 2 
12 49 9 100.0 13.0 3.371530368726095 5 6 10 7 8 
13 160 23 100.0 13.0 3.0992065304204788 6 3 2 10 9 
14 161 168 100.0 13.0 2.8734197114108255 3 8 5 4 6 
15 7 168 100.0 13.0 3.1007649783139275 6 8 7 3 2 
16 91 31 100.0 13.0 2.0272676594297403 5 2 10 7 6 
17 97 28 100.0 13.0 0.47514754456911834 2 5 10 1 3 
18 4 108 150.0 13.0 4.451993794348497 7 5 8 10 9 
19 20 73 100.0 13.0 1.672253536429188 5 4 6 1 8 
20 155 132 150.0 13.0 0.8865038307990225 4 1 3 6 2 
21 98 193 100.0 13.0 2.1630838571989845 4 9 2 5 10 
22 181 102 100.0 13.0 0.36381415408212325 2 5 8 4 3 
23 175 183 150.0 13.0 4.373843894886972 7 4 1 6 2 
24 26 97 150.0 13.0 4.4073954556483095 10 9 7 8 4 
25 12 23 50.0 13.0 0.6598347841051899 7 3 4 5 2 
26 92 136 50.0 13.0 3.817186326721435 2 10 7 4 1 
27 159 135 50.0 13.0 0.15088331893472529 3 9 5 1 7 
28 149 54 50.0 13.0 1.7169424201611772 7 4 3 2 9 
29 21 62 150.0 13.0 0.05469062165249783 6 5 1 4 9 
30 152 111 100.0 13.0 3.378793609920086 7 6 10 9 3 
31 35 24 150.0 13.0 4.484469400951999 8 1 5 6 2 
32 75 113 100.0 13.0 3.365446526144517 8 1 3 2 4 
33 182 36 50.0 13.0 1.029569412958925 3 7 1 2 8 
34 175 2 150.0 13.0 0.510296729642643 10 4 2 5 9 
35 30 181 50.0 13.0 2.8279747919001714 6 1 3 5 9 
36 7 186 100.0 13.0 2.278620639905031 10 4 8 5 2 
37 198 79 50.0 13.0 2.121469137637308 2 4 9 6 7 
38 40 192 50.0 13.0 1.2894619366049214 7 9 1 10 5 
39 74 110 150.0 13.0 3.2109132039380137 8 4 7 6 5 
40 190 25 100.0 13.0 1.2625368091161886 4 9 1 8 10 
41 94 3 150.0 13.0 2.89325674510497 8 3 10 9 6 
42 92 87 50.0 13.0 0.8978627947618678 5 2 3 6 4 
43 126 91 150.0 13.0 3.724075473230969 1 7 3 6 8 
44 134 37 100.0 13.0 2.6994480096119493 2 9 5 8 7 
45 47 122 150.0 13.0 4.074081679354799 6 10 9 1 4 
46 146 29 150.0 13.0 4.502097737672696 9 1 7 4 8 
47 158 52 50.0 13.0 3.0332469395312596 1 4 6 5 8 
48 88 134 50.0 13.0 0.7095169279549568 10 1 2 3 8 
49 101 31 150.0 13.0 0.390275788290938 5 9 4 8 7 
50 41 137 150.0 13.0 2.5486286040511343 8 6 1 4 10 
0.44
16 24000 122 ;2.76 
8 160 61 ;0.67 
16 320 30 ;0.84 
16 320 122 ;1.33 
16 3200 122 ;3.41 
32 640 60 ;1.68 
16 320 30 ;0.84 
16 24000 122 ;2.76 
16 320 122 ;1.33 
16 3200 122 ;3.41 
16 320 30 ;0.84 
32 640 244 ;2.66 
16 320 30 ;0.84 
32 640 60 ;1.68 
16 320 122 ;1.33 
32 6400 244 ;6.82 
16 24000 122 ;2.76 
16 24000 122 ;2.76 
32 640 60 ;1.68 
32 640 244 ;2.66 
8 160 26 ;0.53 
16 3200 122 ;3.41 
8 1600 61 ;1.71 
32 640 244 ;2.66 
32 640 244 ;2.66 
32 640 60 ;1.68 
8 160 15 ;0.42 
36 116 48000 ;5.52 
8 160 15 ;0.42 
32 640 60 ;1.68 
8 160 26 ;0.53 
32 6400 244 ;6.82 
8 160 15 ;0.42 
8 160 15 ;0.42 
32 640 60 ;1.68 
36 116 48000 ;5.52 
32 640 60 ;1.68 
8 160 61 ;0.67 
32 6400 244 ;6.82 
8 160 15 ;0.42 
8 1600 61 ;1.71 
8 160 61 ;0.67 
8 160 26 ;0.53 
36 116 48000 ;5.52 
8 1600 61 ;1.71 
8 1600 61 ;1.71 
32 6400 244 ;6.82 
32 640 60 ;1.68 
8 160 26 ;0.53 
16 24000 122 ;2.76 
16 24000 122 ;2.76 
36 116 48000 ;5.52 
8 1600 61 ;1.71 
8 160 15 ;0.42 
32 640 244 ;2.66 
8 160 61 ;0.67 
8 160 15 ;0.42 
16 3200 122 ;3.41 
8 160 61 ;0.67 
16 24000 122 ;2.76 
16 3200 122 ;3.41 
32 6400 244 ;6.82 
16 320 122 ;1.33 
32 6400 244 ;6.82 
8 160 26 ;0.53 
16 3200 122 ;3.41 
8 160 15 ;0.42 
32 6400 244 ;6.82 
16 24000 122 ;2.76 
8 160 26 ;0.53 
8 160 61 ;0.67 
16 24000 122 ;2.76 
36 116 48000 ;5.52 
36 116 48000 ;5.52 
8 1600 61 ;1.71 
8 1600 61 ;1.71 
32 640 244 ;2.66 
32 640 60 ;1.68 
8 160 61 ;0.67 
8 160 15 ;0.42 
32 640 244 ;2.66 
36 116 48000 ;5.52 
8 160 26 ;0.53 
8 160 15 ;0.42 
16 320 122 ;1.33 
32 640 60 ;1.68 
16 320 30 ;0.84 
8 160 26 ;0.53 
16 24000 122 ;2.76 
8 160 26 ;0.53 
32 640 60 ;1.68 
16 3200 122 ;3.41 
32 6400 244 ;6.82 
8 160 26 ;0.53 
8 1600 61 ;1.71 
16 24000 122 ;2.76 
32 6400 244 ;6.82 
16 320 30 ;0.84 
32 6400 244 ;6.82 
8 160 61 ;0.67 
32 6400 244 ;6.82 
8 160 61 ;0.67 
8 160 15 ;0.42 
16 320 122 ;1.33 
16 24000 122 ;2.76 
8 160 61 ;0.67 
8 1600 61 ;1.71 
32 640 244 ;2.66 
16 3200 122 ;3.41 
16 24000 122 ;2.76 
16 3200 122 ;3.41 
8 160 15 ;0.42 
16 24000 122 ;2.76 
8 1600 61 ;1.71 
8 1600 61 ;1.71 
16 3200 122 ;3.41 
32 6400 244 ;6.82 
36 116 48000 ;5.52 
16 24000 122 ;2.76 
32 640 244 ;2.66 
8 160 15 ;0.42 
16 320 30 ;0.84 
32 6400 244 ;6.82 
8 1600 61 ;1.71 
16 320 122 ;1.33 
8 1600 61 ;1.71 
36 116 48000 ;5.52 
8 160 61 ;0.67 
36 116 48000 ;5.52 
16 320 122 ;1.33 
8 1600 61 ;1.71 
36 116 48000 ;5.52 
16 3200 122 ;3.41 
36 116 48000 ;5.52 
8 160 26 ;0.53 
