5 25 112 2
1.16 3.16 4.21 ;2.34 9.95 2.95 ;1.91 3.89 9.92 ;0.79 9.41 5.87 ;1.61 7.43 2.26 ;
1 54 62 200.0 -1.0 0.3537638919425562 5 1 4 
2 33 54 200.0 -1.0 4.097058568096626 5 3 1 4 2 
3 6 41 100.0 -1.0 3.795407056435143 4 3 5 2 1 
4 7 35 100.0 -1.0 2.6123810593668346 5 3 4 2 
5 51 40 150.0 -1.0 1.9166963742919303 2 3 4 5 1 
6 29 23 50.0 -1.0 1.3480449194062034 1 2 5 3 4 
7 37 16 200.0 -1.0 1.2225605728855038 2 5 1 4 
8 9 58 50.0 -1.0 1.2013344384488 4 5 3 
9 46 35 100.0 -1.0 2.8573866561350543 5 1 3 2 4 
10 63 31 50.0 -1.0 4.9988827610849 5 3 4 2 1 
11 14 12 200.0 -1.0 3.316571601488377 2 5 1 4 
12 14 25 100.0 -1.0 3.5748041324292408 3 1 2 4 5 
13 22 31 100.0 -1.0 0.6285675454395223 3 5 2 4 
14 9 61 100.0 -1.0 1.9898463730831106 3 4 5 
15 17 33 100.0 -1.0 4.993633715626978 2 3 1 4 5 
16 17 26 200.0 -1.0 1.8733093173212179 2 5 3 1 4 
17 18 25 200.0 -1.0 0.6918359538567243 2 3 4 1 5 
18 44 64 100.0 -1.0 2.7257596609860246 5 4 3 
19 32 48 200.0 -1.0 3.423949016266988 5 2 3 
20 53 55 50.0 -1.0 2.9370598791968194 1 4 3 2 5 
21 17 44 100.0 -1.0 4.461587058202131 1 5 3 
22 48 51 200.0 -1.0 2.9730394618791123 2 3 5 4 
23 56 62 50.0 -1.0 2.69608742013589 4 2 3 5 
24 18 53 150.0 -1.0 3.0899679841070844 5 1 3 4 2 
25 40 51 150.0 -1.0 1.7091775818168258 2 1 5 4 
0.44
16 24000 122 ;2.76 
32 640 244 ;2.66 
16 24000 122 ;2.76 
32 640 244 ;2.66 
16 320 30 ;0.84 
16 320 30 ;0.84 
8 160 26 ;0.53 
8 1600 61 ;1.71 
16 24000 122 ;2.76 
36 116 48000 ;5.52 
16 3200 122 ;3.41 
8 1600 61 ;1.71 
16 24000 122 ;2.76 
32 640 60 ;1.68 
8 1600 61 ;1.71 
16 24000 122 ;2.76 
32 640 60 ;1.68 
32 6400 244 ;6.82 
32 640 244 ;2.66 
36 116 48000 ;5.52 
8 160 26 ;0.53 
16 24000 122 ;2.76 
32 640 244 ;2.66 
16 320 122 ;1.33 
16 3200 122 ;3.41 
16 24000 122 ;2.76 
16 320 122 ;1.33 
16 320 30 ;0.84 
32 6400 244 ;6.82 
16 3200 122 ;3.41 
16 320 122 ;1.33 
8 160 26 ;0.53 
36 116 48000 ;5.52 
8 160 61 ;0.67 
8 160 61 ;0.67 
32 640 244 ;2.66 
8 160 26 ;0.53 
8 160 26 ;0.53 
8 160 15 ;0.42 
8 160 61 ;0.67 
8 1600 61 ;1.71 
32 6400 244 ;6.82 
32 6400 244 ;6.82 
8 160 61 ;0.67 
32 640 244 ;2.66 
16 320 30 ;0.84 
8 160 61 ;0.67 
8 1600 61 ;1.71 
8 160 61 ;0.67 
32 640 244 ;2.66 
32 640 244 ;2.66 
16 320 122 ;1.33 
16 320 122 ;1.33 
16 320 30 ;0.84 
16 24000 122 ;2.76 
8 160 61 ;0.67 
8 160 61 ;0.67 
16 3200 122 ;3.41 
16 24000 122 ;2.76 
16 24000 122 ;2.76 
8 160 15 ;0.42 
32 6400 244 ;6.82 
16 24000 122 ;2.76 
36 116 48000 ;5.52 
36 116 48000 ;5.52 
16 320 30 ;0.84 
32 640 244 ;2.66 
32 640 60 ;1.68 
8 160 26 ;0.53 
8 160 15 ;0.42 
16 24000 122 ;2.76 
16 320 30 ;0.84 
16 320 30 ;0.84 
16 3200 122 ;3.41 
8 160 15 ;0.42 
8 160 26 ;0.53 
8 160 26 ;0.53 
16 3200 122 ;3.41 
36 116 48000 ;5.52 
8 160 61 ;0.67 
8 160 26 ;0.53 
16 3200 122 ;3.41 
36 116 48000 ;5.52 
16 24000 122 ;2.76 
32 640 60 ;1.68 
16 320 30 ;0.84 
16 3200 122 ;3.41 
8 1600 61 ;1.71 
16 320 122 ;1.33 
8 1600 61 ;1.71 
16 3200 122 ;3.41 
8 160 15 ;0.42 
8 160 61 ;0.67 
8 160 61 ;0.67 
8 160 26 ;0.53 
36 116 48000 ;5.52 
8 160 26 ;0.53 
8 160 26 ;0.53 
32 640 60 ;1.68 
8 160 26 ;0.53 
8 1600 61 ;1.71 
16 24000 122 ;2.76 
32 640 60 ;1.68 
16 24000 122 ;2.76 
16 3200 122 ;3.41 
16 320 30 ;0.84 
16 3200 122 ;3.41 
16 320 122 ;1.33 
8 160 61 ;0.67 
16 320 30 ;0.84 
16 3200 122 ;3.41 
32 6400 244 ;6.82 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5000 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 0 0 0 0 0 
