5 40 99 2
2.1 9.36 8.21 ;1.88 9.74 8.53 ;1.1 6.51 4.68 ;1.37 9.63 8.48 ;1.11 4.61 4.33 ;
1 56 68 50.0 -1.0 1.4256198383143093 4 5 3 1 
2 88 80 150.0 -1.0 4.640235465667616 1 2 4 5 3 
3 79 82 200.0 -1.0 4.68676010325235 4 3 1 
4 93 70 150.0 -1.0 3.197909384331843 1 5 4 3 2 
5 49 73 50.0 -1.0 4.4911160714547185 4 3 1 2 5 
6 69 80 100.0 -1.0 1.4934077569786575 1 5 4 2 
7 47 61 50.0 -1.0 0.30004625501097115 3 2 4 1 5 
8 80 99 50.0 -1.0 0.5467451637156351 3 1 4 5 2 
9 87 62 150.0 -1.0 1.3806164602448845 3 5 4 1 2 
10 65 57 200.0 -1.0 1.843676552167176 4 3 2 
11 79 69 200.0 -1.0 2.3722095234349667 4 2 1 5 3 
12 65 74 150.0 -1.0 2.7273199401794432 4 2 1 5 3 
13 76 75 150.0 -1.0 1.6830213053664473 5 2 1 3 
14 59 79 150.0 -1.0 4.657972383474865 2 3 1 
15 48 79 50.0 -1.0 2.8676490020522 5 3 2 
16 91 84 100.0 -1.0 3.2680980527599135 4 2 1 5 
17 60 72 200.0 -1.0 4.8300381221864335 5 1 3 4 
18 68 88 200.0 -1.0 3.895960295454805 2 5 1 
19 73 61 50.0 -1.0 2.7830613277573892 2 1 3 4 5 
20 96 85 150.0 -1.0 2.4767468006489097 5 1 3 2 
21 57 81 200.0 -1.0 2.497640761213347 1 5 3 4 
22 50 51 100.0 -1.0 0.14883698567546177 1 3 5 2 4 
23 92 79 200.0 -1.0 0.5904182110539496 4 3 5 2 
24 54 87 200.0 -1.0 3.7146255843260874 5 3 4 2 1 
25 49 97 50.0 -1.0 3.531173400195433 5 1 4 2 3 
26 85 60 50.0 -1.0 0.3096557632369423 4 3 1 5 
27 95 49 150.0 -1.0 3.598361808926875 2 3 4 1 5 
28 61 68 150.0 -1.0 1.956485486467368 4 2 1 5 
29 92 64 50.0 -1.0 1.9155908574007148 1 3 2 
30 56 59 50.0 -1.0 1.7231630199689552 2 1 4 5 3 
31 84 88 150.0 -1.0 2.130850607018008 1 4 2 
32 57 74 100.0 -1.0 2.5096427656677283 4 3 1 2 5 
33 62 53 150.0 -1.0 3.5527930194527846 3 4 2 5 
34 93 78 50.0 -1.0 4.341072194172606 5 2 1 3 4 
35 57 60 100.0 -1.0 0.5172454241547392 4 5 1 2 3 
36 59 78 100.0 -1.0 3.7727191466945325 1 2 3 5 
37 56 53 50.0 -1.0 0.5901330926981363 1 5 3 2 
38 86 82 150.0 -1.0 3.546425260335551 1 4 3 5 
39 95 93 100.0 -1.0 4.984204712354308 5 4 1 
40 72 81 150.0 -1.0 0.054020621364043175 3 4 2 1 
0.44
36 116 48000 ;5.52 
8 160 26 ;0.53 
32 640 244 ;2.66 
16 320 122 ;1.33 
16 320 122 ;1.33 
8 160 61 ;0.67 
32 640 244 ;2.66 
32 6400 244 ;6.82 
8 160 61 ;0.67 
8 160 61 ;0.67 
16 320 122 ;1.33 
16 320 30 ;0.84 
32 640 244 ;2.66 
16 320 122 ;1.33 
16 320 122 ;1.33 
36 116 48000 ;5.52 
16 24000 122 ;2.76 
32 640 244 ;2.66 
8 160 15 ;0.42 
8 160 61 ;0.67 
16 320 122 ;1.33 
32 640 244 ;2.66 
16 320 122 ;1.33 
8 1600 61 ;1.71 
32 640 244 ;2.66 
32 640 244 ;2.66 
8 160 26 ;0.53 
16 320 30 ;0.84 
16 320 122 ;1.33 
8 160 61 ;0.67 
8 160 26 ;0.53 
16 3200 122 ;3.41 
16 320 30 ;0.84 
8 160 61 ;0.67 
8 160 15 ;0.42 
16 320 122 ;1.33 
36 116 48000 ;5.52 
36 116 48000 ;5.52 
16 24000 122 ;2.76 
32 640 244 ;2.66 
8 160 15 ;0.42 
8 160 61 ;0.67 
8 160 26 ;0.53 
16 320 122 ;1.33 
8 160 15 ;0.42 
32 6400 244 ;6.82 
16 320 122 ;1.33 
36 116 48000 ;5.52 
16 320 30 ;0.84 
36 116 48000 ;5.52 
8 1600 61 ;1.71 
32 640 244 ;2.66 
32 640 244 ;2.66 
8 160 61 ;0.67 
8 160 26 ;0.53 
8 160 15 ;0.42 
16 24000 122 ;2.76 
8 160 15 ;0.42 
32 640 60 ;1.68 
8 160 61 ;0.67 
36 116 48000 ;5.52 
36 116 48000 ;5.52 
8 160 15 ;0.42 
8 1600 61 ;1.71 
8 160 15 ;0.42 
16 320 30 ;0.84 
8 160 26 ;0.53 
36 116 48000 ;5.52 
16 24000 122 ;2.76 
16 24000 122 ;2.76 
16 3200 122 ;3.41 
32 640 60 ;1.68 
32 6400 244 ;6.82 
32 640 244 ;2.66 
16 320 30 ;0.84 
16 320 122 ;1.33 
32 640 60 ;1.68 
36 116 48000 ;5.52 
8 160 15 ;0.42 
32 6400 244 ;6.82 
32 640 244 ;2.66 
8 1600 61 ;1.71 
36 116 48000 ;5.52 
16 320 122 ;1.33 
16 24000 122 ;2.76 
32 640 60 ;1.68 
32 640 60 ;1.68 
32 640 244 ;2.66 
32 640 60 ;1.68 
8 1600 61 ;1.71 
8 160 61 ;0.67 
16 3200 122 ;3.41 
36 116 48000 ;5.52 
16 320 30 ;0.84 
16 320 122 ;1.33 
32 640 244 ;2.66 
8 160 61 ;0.67 
32 6400 244 ;6.82 
16 24000 122 ;2.76 
0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
50000 50000 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 50000 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 50000 50000 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50000 0 50000 0 50000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
